id,production_class,establishment_labour_class,mature_recurring_labour_class,annual_soil_preparation,planting_frequency,weeding_requirement,watering_monitoring,harvest_labour,pruning_maintenance,mechanization_requirement,physical_intensity_older_resident,establishment_hours_per_ha,mature_recurring_hours_per_ha,soil_preparation_hours_per_ha,planting_hours_per_ha,weeding_hours_per_ha,pruning_maintenance_hours_per_ha,harvest_hours_per_ha,irrigation_monitoring_hours_per_ha,orchard_maintenance_hours_per_ha,pest_wildlife_management_hours_per_ha,processing_storage_hours_per_ha,greenhouse_management_hours_per_ha,coppice_cutting_hours_per_ha,firewood_hauling_hours_per_ha,firewood_splitting_hours_per_ha,firewood_stacking_drying_hours_per_ha,source,evidence_type,notes
annual_staple_low_input,Annual staple crops,high,high,high,annual,moderate-high,moderate,moderate-high,none,moderate,high,180,175,45,35,50,0,45,15,0,20,35,0,0,0,0,0,https://www.ontario.ca/page/starting-farm-ontario; https://www.ontario.ca/page/organic-field-crop-production,planning classification,Hours are transparent planning bands rather than a measured farm labour study; grain and root-crop mechanization can reduce hand labour but increases fuel/equipment dependence.
annual_legume_oilseed_low_input,Annual legumes and oilseeds,high,high,high,annual,moderate-high,moderate,moderate-high,none,moderate,high,180,185,45,40,55,0,50,15,0,20,40,0,0,0,0,0,https://www.ontario.ca/page/starting-farm-ontario,planning classification,Beans and oilseeds require annual establishment and harvest; protein and fat production should not be treated as low-labour simply because crops are nutritionally dense.
annual_intensive_vegetable,Intensive annual vegetables,high,high,high,annual,high,high,high,none,low-moderate,high,450,480,70,100,150,0,160,120,0,60,100,200,0,0,0,0,https://www.ontario.ca/page/starting-farm-ontario,planning classification,Greenhouse and garden vegetables are frequent-attention crops; labour is highly design- and mechanization-dependent.
early_berry,Early-bearing berries,moderate,moderate-high,low,one-time plus replacement,moderate,moderate,high,moderate,low-moderate,moderate-high,260,260,10,0,80,60,150,40,0,20,50,0,0,0,0,0,https://www.ontario.ca/page/growing-raspberries-and-blackberries-home-gardens,planning classification,Harvest and pruning remain significant after soil preparation falls; establishment irrigation and wildlife protection are unresolved local requirements.
intermediate_nut_shrub,Intermediate nut shrubs,moderate,low-moderate,low,one-time,moderate during establishment,low-moderate,moderate,low-moderate,optional,moderate,200,95,12,0,25,30,45,15,30,20,50,0,0,0,0,0,https://www.ontario.ca/page/2018-economic-report-establishment-and-production-costs-hazelnuts-ontario,planning classification,Ontario economic guidance documents establishment labour and crop management but not a low-input household labour series.
intermediate_fruit_tree,Intermediate fruit trees,moderate,moderate,low,one-time,moderate during establishment,low-moderate,moderate-high,moderate-high,optional,moderate,220,150,12,0,35,65,85,15,65,35,60,0,0,0,0,0,https://www.ontario.ca/page/apple-rootstocks,planning classification,Tree training
long_staple_tree,Long-lived staple trees,moderate,low,low,one-time,low-moderate,low after establishment,moderate seasonal,low-moderate,optional,low-moderate,150,65,10,0,15,30,30,10,30,30,65,0,0,0,0,0,https://www.ontario.ca/page/american-chestnut-recovery-strategy; https://omafra.gov.on.ca/CropOp/en/spec_fruit/nuts/hear.html,planning classification,Chestnut and walnut functions require protection
perennial_vegetable,Perennial vegetables and herbaceous legumes,moderate,moderate,low,one-time plus division,moderate,moderate,moderate-high,low,low,moderate,220,180,8,0,60,20,70,30,0,20,30,0,0,0,0,0,https://cce.cornell.edu/warren-county/programs-education/natural-resources/agroforestry/forest-berries-nuts-mushrooms,planning classification,No defensible Grey-Bruce hectare yield is currently canonical; labour class is retained for layout and dietary-diversity planning.
woody_heating_coppice,Woody heating and coppice,moderate,low-moderate,low,one-time plus rotation,low-moderate,low,high seasonal,low-moderate,optional,high,120,110,0,0,10,20,30,0,0,10,40,0,30,20,20,20,explicit ARC planning assumption,planning classification,Coppice cutting hauling splitting stacking and drying are explicit planning estimates; replace with local time study and mechanization scenario.
chickens,Small laying-hen module,moderate,moderate,none,continuous replacement,low,high,moderate,low,low,moderate,140,120,0,0,0,0,70,0,0,20,40,0,0,0,0,0,https://extension.umn.edu/small-scale-poultry/raising-chickens-eggs; https://www.ontario.ca/page/introduction-poultry-nutrition,planning classification,Daily feed and water
rabbits,Small meat-rabbit module,moderate,moderate-high,none,breeding cycle,low-moderate,high,moderate,low,low,moderate-high,220,180,0,0,0,0,80,0,0,20,40,0,0,0,0,0,https://files.ontario.ca/omafra-starting-farm-in-ontario-pub-61-en-2023-04-21.pdf; https://www.ontario.ca/document/animal-health-updates-and-veterinary-advisories/animal-health-update-rabbit-hemorrhagic-disease-virus-2-2022-06-10,planning classification,Daily water/feed
